"FilePath","Changed","Mode","Actions"
"index.html","True","APPLY","updated <title>; updated meta description; replaced WebSite; replaced Organization"
"downloads.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList"
"coverage.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList"
"methodology.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList"
"platform.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList"
"geoip-csv-download.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList; inserted Dataset"
"geoip-parquet-download.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList; inserted Dataset"
"geoip-database.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList; inserted Dataset"
"ip-geolocation-data.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList; inserted Dataset"
"downloads-csv-2026-03.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList; replaced Dataset"
"downloads-parquet-2026-03.html","True","APPLY","updated <title>; updated meta description; replaced BreadcrumbList; replaced Dataset"
